App_Name,Adam_ID,Categories,Additional_Info,iTunes_URL
My Playhome School,922188121,6,,https://itunes.apple.com/us/app/my-playhome-school/id922188121?mt=8
My Playhome Stores,683942610,6,,https://itunes.apple.com/us/app/my-playhome-stores/id683942610?mt=8
My Talking Picture Board,586535395,17,,https://itunes.apple.com/us/app/my-talking-picture-board/id586535395?mt=8
My Town : Dance School,1112068171,6,,https://itunes.apple.com/us/app/my-town-dance-school/id1112068171?mt=8
My Town : Home Doll House,998176001,6,,https://itunes.apple.com/us/app/my-town-home-doll-house/id998176001?mt=8
myHomework Student Planner,303490844,1,,https://itunes.apple.com/us/app/myhomework-student-planner/id303490844?mt=8&ign-mpt=uo%3D4
MyScript Calculator,1304488725,a,,https://itunes.apple.com/us/app/myscript-calculator/id1304488725?mt=8
MyScript Stack,914007100,"4, a",,https://itunes.apple.com/us/app/myscript-stack-handwriting-keyboard/id914007100?mt=8
NASA,334325516,"11, a",,https://itunes.apple.com/us/app/nasa-app/id334325516?mt=8
Native Numbers - Complete Number Sense Mastery Curriculum,570231808,19,,https://itunes.apple.com/us/app/native-numbers-complete-number/id570231808?mt=8
News-2-You,602677864,h,,https://itunes.apple.com/us/app/news-2-you/id602677864?mt=8
Night Sky,475772902,11,,https://itunes.apple.com/us/app/night-sky/id475772902?mt=8
NodeBeat - Playful Music,428440804,"12, a",,https://itunes.apple.com/us/app/nodebeat-playful-music/id428440804?mt=8
Notability,360593530,"5, a, c",,https://itunes.apple.com/us/app/notability/id360593530?mt=8
Number Flash,610929803,19,,https://itunes.apple.com/us/app/number-flash/id610929803?mt=8
"Number Frames, by the Math Learning Center",873198123,19,,https://itunes.apple.com/us/app/number-frames-by-math-learning/id873198123?mt=8
"Number Pieces Basic, by the Math Learning Center",611452042,19,,https://itunes.apple.com/us/app/number-pieces-basic-by-math/id611452042?mt=8
"Number Rack, by The Math Learning Center",496057949,19,,https://itunes.apple.com/us/app/number-rack-by-math-learning/id496057949?mt=8
Number Tile Fill Up,1192863091,19,,https://itunes.apple.com/us/app/number-tile-fill-up/id1192863091?mt=8
Order of Operations by iDevBooks,813866558,19,,https://itunes.apple.com/us/app/order-of-operations-by-idevbooks/id813866558?mt=8
Pages,361309726,"5, a, c",,https://itunes.apple.com/us/app/pages/id361309726?mt=8
Pair By Kind - Match visually related items,1135858883,14,,https://itunes.apple.com/us/app/pair-by-kind-match-visually-related-items/id1135858883?mt=8
"Pair By Number - Match quantities and numbers
",1135861880,14,,https://itunes.apple.com/us/app/pair-by-number-match-quantities-and-numbers/id1135861880?mt=8
Panther Math paper,547090551,"15, a",,https://itunes.apple.com/us/app/panther-math-paper/id547090551?mt=8
Paper by FiftyThree,506003812,a,,https://itunes.apple.com/us/app/paper-by-fiftythree-sketch/id506003812?mt=8
Park Math HD - by Duck Duck Moose,403939208,"14, a",,https://itunes.apple.com/us/app/park-math-hd-by-duck-duck-moose/id403939208?mt=8
Partial Products Multiplication,351024135,19,,https://itunes.apple.com/us/app/partial-products-multiplication/id351024135?mt=8
Partial Quotients Division,351024352,19,,https://itunes.apple.com/us/app/partial-quotients-division/id351024352?mt=8
Pattern Sets,415152649,19,,https://itunes.apple.com/us/app/pattern-sets/id415152649?mt=8
"Pattern Shapes, by the Math Learning Center",908511013,19,,https://itunes.apple.com/us/app/pattern-shapes-by-math-learning/id908511013?mt=8
Patterns Colors and Shapes,454970436,19,,https://itunes.apple.com/us/app/patterns-colors-and-shapes/id454970436?mt=8
PBS KIDS Games,1050773989,14,,https://itunes.apple.com/us/app/pbs-kids-games/id1050773989?mt=8
